"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","125"
"Male","134"
"","259"
"Doteli",""
"Female","11"
"Male","10"
"","21"
"Limbu",""
"Female","9"
"Male","3"
"","12"
"Magahi",""
"Female","1633"
"Male","1584"
"","3217"
"Magar",""
"Female","790"
"Male","702"
"","1492"
"Maithili",""
"Female","17407"
"Male","16442"
"","33849"
"Nepali",""
"Female","1816"
"Male","1658"
"","3474"
"Newar",""
"Female","30"
"Male","29"
"","59"
"Not Reported",""
"Female","168"
"Male","143"
"","311"
"Others",""
"Female","23"
"Male","20"
"","43"
"Rai",""
"Female","31"
"Male","37"
"","68"
"Sunuwar",""
"Female","78"
"Male","78"
"","156"
"Tamang",""
"Female","1020"
"Male","907"
"","1927"
"Uranw/Urau",""
"Female","105"
"Male","113"
"","218"
"Urdu",""
"Female","257"
"Male","222"
"","479"
