"Industries Types","Number"
"Accommodation and food","21894"
"Administrative and support service activity","2652"
"Agriculture, forestry and fishing","421"
"Art, entertainment and recreation","677"
"Construction","209"
"Education","3198"
"Electricty gas and water","102"
"Financial intermediation and insurance","2998"
"Health and social work","1048"
"Information and communications","841"
"Manufacturing","11691"
"Mining and quarrying","47"
"Other service activities","7564"
"Professional,scientific and techniqual activity","1764"
"Real state, renting and business activities","81"
"Transport and storage","423"
"Water supply, wet management","337"
"Wholesale and retail trade","69100"
"Total","125047"
