"Industries Employment","Number"
"Accommodation,  food",""
"Female","30077"
"Male","48176"
"Administrative, support service",""
"Female","9503"
"Male","20638"
"Agriculture, forestry and  fishing",""
"Female","1130"
"Male","1640"
"Arts, entertainment, recreation",""
"Female","2882"
"Male","4090"
"Construction",""
"Female","632"
"Male","2169"
"Education",""
"Female","35113"
"Male","37250"
"Electricity, gas and water",""
"Female","1706"
"Male","4223"
"Financial intermediation and insurance",""
"Female","27662"
"Male","36417"
"Health, social work",""
"Female","15630"
"Male","14415"
"Information and communication",""
"Female","4741"
"Male","13154"
"Manufacturing",""
"Female","19665"
"Male","35803"
"Other service activities",""
"Female","11578"
"Male","18976"
"Professional, scientific, techniqual activity",""
"Female","5131"
"Male","11495"
"Real estate, renting and business activity",""
"Female","293"
"Male","802"
"Transportation,  storage",""
"Female","903"
"Male","3399"
"Water supply, wet management",""
"Female","459"
"Male","1944"
"Wholesale, retail trade",""
"Female","60705"
"Male","107160"
