"Agricultural land use area","Hectare"
"Area under arable land","499223.00"
"Area under meadows and pasture","4410.00"
"Area under permanent crops","53923.00"
"Area under Temporary crops","490417.00"
"Area under temporary fallow","7222.00"
"Area under temporary meadows","1584.00"
"Other land","24291.00"
"Ponds","612.00"
"Woodland and forest","20013.00"
"Total","1101695.00"
