"Population by Five Years Age Group","Number"
"0-4",""
"Female","659"
"Male","662"
"10-14",""
"Female","1160"
"Male","1067"
"15-19",""
"Female","1133"
"Male","701"
"20-24",""
"Female","718"
"Male","370"
"25-29",""
"Female","588"
"Male","369"
"30-34",""
"Female","449"
"Male","291"
"35-39",""
"Female","441"
"Male","312"
"40-44",""
"Female","486"
"Male","323"
"45-49",""
"Female","431"
"Male","346"
"50-54",""
"Female","427"
"Male","415"
"55-59",""
"Female","294"
"Male","308"
"5-9",""
"Female","916"
"Male","877"
"60-64",""
"Female","293"
"Male","295"
"65-69",""
"Female","246"
"Male","260"
"70-74",""
"Female","173"
"Male","181"
"75+",""
"Female","271"
"Male","257"
