"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","12"
"Male","17"
"","29"
"Gurung",""
"Female","341"
"Male","273"
"","614"
"Kumal",""
"Female","14"
"Male","9"
"","23"
"Magar",""
"Female","2830"
"Male","2189"
"","5019"
"Nepali",""
"Female","8460"
"Male","6610"
"","15070"
"Newar",""
"Female","901"
"Male","729"
"","1630"
"Not Reported",""
"Female","8"
"Male","6"
"","14"
"Others",""
"Female","15"
"Male","20"
"","35"
"Tamang",""
"Female","13"
"Male","11"
"","24"
"Tharu",""
"Female","13"
"Male","13"
"","26"
"Urdu",""
"Female","9"
"Male","9"
"","18"
