"Number of households by type of outer wall","Number"
"BambooWall","508"
"Cement Bonded Bricks/Stone Wall","178"
"Mud Bonded Bricks/Stone Wall","22261"
"Not Stated about Wall","71"
"Other Type Wall","37"
"Unbaked Bricks","25"
"Wood/Planks","678"
"Total","23758"
