"Agricultural land use area","Hectare"
"Area under arable land","15546.00"
"Area under meadows and pasture","474.00"
"Area under permanent crops","1134.00"
"Area under Temporary crops","15181.00"
"Area under temporary fallow","266.00"
"Area under temporary meadows","99.00"
"Other land","566.00"
"Ponds","0.00"
"Woodland and forest","1397.00"
"Total","34663.00"
