"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","13"
"Cow Dung","19"
"Electricity Fuel","762"
"KeroseneFuel","125"
"LP Gas","91"
"Not Sated about Fuel","48"
"OthersFuel","1"
"Wood/FireWood","22699"
"Total","23758"
