"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","5666"
"Mud Roof","5"
"Not Sated Roof","76"
"Other Type of Roof","856"
"RCC Roof","28"
"Thatch/Straw Roof","8633"
"Tile/Slate Roof","2674"
"Wood/Planks Roof","5820"
"Total","23758"
