"Number of households by type of outer wall","Number"
"BambooWall","5310"
"Cement Bonded Bricks/Stone Wall","830"
"Mud Bonded Bricks/Stone Wall","317"
"Not stated","129"
"Others","15"
"Unbaked Bricks","6"
"Wood/Planks","430"
"Total","7037"
