"Population by Mother tongue","Number"
"Bantawa",""
"Female","14"
"Male","14"
"","28"
"Chamling",""
"Female","17"
"Male","14"
"","31"
"Gurung",""
"Female","367"
"Male","309"
"","676"
"Limbu",""
"Female","86"
"Male","68"
"","154"
"Magar",""
"Female","577"
"Male","508"
"","1085"
"Maithili",""
"Female","7"
"Male","23"
"","30"
"Nachhiring",""
"Female","32"
"Male","23"
"","55"
"Nepali",""
"Female","5774"
"Male","4923"
"","10697"
"Newar",""
"Female","63"
"Male","54"
"","117"
"Not Reported",""
"Female","18"
"Male","16"
"","34"
"Others",""
"Female","50"
"Male","41"
"","91"
"Rai",""
"Female","86"
"Male","68"
"","154"
"Sherpa",""
"Female","171"
"Male","149"
"","320"
"Sunuwar",""
"Female","9"
"Male","6"
"","15"
"Tamang",""
"Female","600"
"Male","507"
"","1107"
"Yakkha",""
"Female","1972"
"Male","1669"
"","3641"
