"Population by Five Years Age Group","Number"
"0-4",""
"Female","948"
"Male","996"
"10-14",""
"Female","1351"
"Male","1322"
"15-19",""
"Female","1319"
"Male","1182"
"20-24",""
"Female","1093"
"Male","731"
"25-29",""
"Female","947"
"Male","576"
"30-34",""
"Female","742"
"Male","449"
"35-39",""
"Female","705"
"Male","426"
"40-44",""
"Female","666"
"Male","475"
"45-49",""
"Female","621"
"Male","472"
"50-54",""
"Female","589"
"Male","494"
"55-59",""
"Female","484"
"Male","436"
"5-9",""
"Female","1069"
"Male","1090"
"60-64",""
"Female","469"
"Male","425"
"65-69",""
"Female","317"
"Male","321"
"70-74",""
"Female","230"
"Male","262"
"75+",""
"Female","357"
"Male","356"
