"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","33"
"Male","18"
"Brahman - Hill",""
"Female","3614"
"Male","2988"
"Chhetri",""
"Female","927"
"Male","767"
"Dalit Others",""
"Female","273"
"Male","218"
"Damai/Dholi",""
"Female","702"
"Male","578"
"Gharti/Bhujel",""
"Female","109"
"Male","95"
"Gurung",""
"Female","1734"
"Male","1472"
"Kami",""
"Female","1526"
"Male","1217"
"Magar",""
"Female","921"
"Male","831"
"Musalman",""
"Female","5"
"Male","10"
"Newar",""
"Female","132"
"Male","114"
"Others",""
"Female","37"
"Male","37"
"Rai",""
"Female","20"
"Male","32"
"Sanyasi/Dasnami",""
"Female","73"
"Male","44"
"Sarki",""
"Female","874"
"Male","728"
"Tamang",""
"Female","748"
"Male","684"
"Thakuri",""
"Female","162"
"Male","125"
"Tharu",""
"Female","8"
"Male","12"
