"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","338"
"Male","308"
"Chhetri",""
"Female","1848"
"Male","1507"
"Damai/Dholi",""
"Female","339"
"Male","272"
"Ghale",""
"Female","12"
"Male","5"
"Gharti/Bhujel",""
"Female","89"
"Male","75"
"Gurung",""
"Female","4785"
"Male","3998"
"Hyolmo",""
"Female","9"
"Male","17"
"Kami",""
"Female","1119"
"Male","1039"
"Magar",""
"Female","18"
"Male","19"
"Musalman",""
"Female","6"
"Male","8"
"Newar",""
"Female","100"
"Male","88"
"Others",""
"Female","14"
"Male","21"
"Rai",""
"Female","21"
"Male","20"
"Sanyasi/Dasnami",""
"Female","11"
"Male","7"
"Sarki",""
"Female","255"
"Male","184"
"Tamang",""
"Female","1171"
"Male","1043"
"Thakali",""
"Female","5"
"Male","8"
