"Population by Five Years Age Group","Number"
"0-4",""
"Female","853"
"Male","819"
"10-14",""
"Female","1218"
"Male","1182"
"15-19",""
"Female","1056"
"Male","909"
"20-24",""
"Female","820"
"Male","518"
"25-29",""
"Female","721"
"Male","412"
"30-34",""
"Female","615"
"Male","390"
"35-39",""
"Female","668"
"Male","389"
"40-44",""
"Female","552"
"Male","384"
"45-49",""
"Female","591"
"Male","479"
"50-54",""
"Female","458"
"Male","488"
"55-59",""
"Female","418"
"Male","428"
"5-9",""
"Female","930"
"Male","936"
"60-64",""
"Female","413"
"Male","424"
"65-69",""
"Female","280"
"Male","292"
"70-74",""
"Female","265"
"Male","298"
"75+",""
"Female","288"
"Male","317"
