"Population by Religion","Number"
"Bahai","2"
"Bon","6"
"Buddism","11609"
"Christianity","771"
"Hindu","27808"
"Islam","322"
"Jainism","0"
"Kirat","11"
"Prakriti","45"
"Sikhism","0"
"Undefined","25"
"Total","40599"
