"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","70"
"Male","145"
"","215"
"Chepang",""
"Female","16"
"Male","15"
"","31"
"Dura",""
"Female","11"
"Male","4"
"","15"
"Gurung",""
"Female","5241"
"Male","4026"
"","9267"
"Hindi",""
"Female","10"
"Male","27"
"","37"
"Hyolmo/Yholmo",""
"Female","26"
"Male","21"
"","47"
"Limbu",""
"Female","6"
"Male","6"
"","12"
"Magar",""
"Female","284"
"Male","242"
"","526"
"Maithili",""
"Female","20"
"Male","27"
"","47"
"Nepali",""
"Female","14066"
"Male","11430"
"","25496"
"Newar",""
"Female","445"
"Male","432"
"","877"
"Others",""
"Female","24"
"Male","32"
"","56"
"Rai",""
"Female","30"
"Male","35"
"","65"
"Sign Language",""
"Female","8"
"Male","6"
"","14"
"Tamang",""
"Female","1374"
"Male","1161"
"","2535"
"Tharu",""
"Female","8"
"Male","26"
"","34"
"Urdu",""
"Female","47"
"Male","35"
"","82"
