"Population by Five Years Age Group","Number"
"0-4",""
"Female","510"
"Male","435"
"10-14",""
"Female","387"
"Male","417"
"15-19",""
"Female","306"
"Male","307"
"20-24",""
"Female","259"
"Male","218"
"25-29",""
"Female","166"
"Male","179"
"30-34",""
"Female","209"
"Male","157"
"35-39",""
"Female","147"
"Male","177"
"40-44",""
"Female","130"
"Male","127"
"45-49",""
"Female","107"
"Male","134"
"50-54",""
"Female","76"
"Male","102"
"55-59",""
"Female","69"
"Male","78"
"5-9",""
"Female","463"
"Male","440"
"60-64",""
"Female","85"
"Male","99"
"65-69",""
"Female","45"
"Male","52"
"70-74",""
"Female","26"
"Male","21"
"75+",""
"Female","31"
"Male","17"
