"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","19"
"Cow Dung","1"
"Electricity","3"
"Kerosene","32"
"LP Gas","248"
"Not stated","75"
"Others","1"
"Wood/Firewood","4804"
"Total","5183"
