"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","12"
"Male","20"
"Gurung",""
"Female","128"
"Male","138"
"Lapcha",""
"Female","1231"
"Male","1258"
"Maithili",""
"Female","21"
"Male","25"
"Nepali",""
"Female","4066"
"Male","3917"
"Newar",""
"Female","503"
"Male","535"
"Not Reported",""
"Female","131"
"Male","135"
"Others",""
"Female","17"
"Male","14"
"Rai",""
"Female","100"
"Male","107"
"Sherpa",""
"Female","10"
"Male","11"
"Tamang",""
"Female","7051"
"Male","6815"
"Urdu",""
"Female","7"
"Male","11"
