"Agricultural land use area","Hectare"
"Area under arable land","19058.00"
"Area under meadows and pasture","468.00"
"Area under permanent crops","3159.00"
"Area under Temporary crops","18254.00"
"Area under temporary fallow","689.00"
"Area under temporary meadows","115.00"
"Other land","1014.00"
"Ponds","7.00"
"Woodland and forest","1782.00"
"Total","44546.00"
