"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","17580"
"Mud Roof","1"
"Not Sated Roof","161"
"Other Type of Roof","108"
"RCC Roof","1842"
"Thatch/Straw Roof","17702"
"Tile/Slate Roof","127"
"Wood/Planks Roof","95"
"Total","37616"
