"Number of households by type of outer wall","Number"
"BambooWall","4742"
"Cement Bonded Bricks/Stone Wall","3400"
"Mud Bonded Bricks/Stone Wall","27597"
"Not Stated about Wall","144"
"Other Type Wall","316"
"Unbaked Bricks","111"
"Wood/Planks","1306"
"Total","37616"
