"Population by Single Year of Age","Number"
"0",""
"Female","214"
"Male","285"
"1",""
"Female","228"
"Male","248"
"10",""
"Female","388"
"Male","439"
"11",""
"Female","241"
"Male","251"
"12",""
"Female","367"
"Male","374"
"13",""
"Female","336"
"Male","271"
"14",""
"Female","282"
"Male","270"
"15",""
"Female","359"
"Male","295"
"16",""
"Female","252"
"Male","275"
"17",""
"Female","203"
"Male","172"
"18",""
"Female","334"
"Male","341"
"19",""
"Female","126"
"Male","125"
"2",""
"Female","288"
"Male","311"
"20",""
"Female","301"
"Male","244"
"21",""
"Female","143"
"Male","102"
"22",""
"Female","262"
"Male","194"
"23",""
"Female","157"
"Male","100"
"24",""
"Female","201"
"Male","126"
"25",""
"Female","276"
"Male","177"
"26",""
"Female","171"
"Male","108"
"27",""
"Female","129"
"Male","95"
"28",""
"Female","254"
"Male","205"
"29",""
"Female","56"
"Male","53"
"3",""
"Female","329"
"Male","329"
"30",""
"Female","309"
"Male","255"
"31",""
"Female","62"
"Male","57"
"32",""
"Female","131"
"Male","147"
"33",""
"Female","93"
"Male","63"
"34",""
"Female","99"
"Male","68"
"35",""
"Female","303"
"Male","234"
"36",""
"Female","98"
"Male","106"
"37",""
"Female","58"
"Male","47"
"38",""
"Female","158"
"Male","112"
"39",""
"Female","30"
"Male","37"
"4",""
"Female","341"
"Male","347"
"40",""
"Female","298"
"Male","236"
"41",""
"Female","32"
"Male","39"
"42",""
"Female","98"
"Male","92"
"43",""
"Female","73"
"Male","62"
"44",""
"Female","71"
"Male","47"
"45",""
"Female","172"
"Male","222"
"46",""
"Female","62"
"Male","72"
"47",""
"Female","54"
"Male","38"
"48",""
"Female","113"
"Male","105"
"49",""
"Female","28"
"Male","35"
"5",""
"Female","361"
"Male","382"
"50",""
"Female","211"
"Male","191"
"51",""
"Female","35"
"Male","33"
"52",""
"Female","64"
"Male","92"
"53",""
"Female","42"
"Male","40"
"54",""
"Female","29"
"Male","41"
"55",""
"Female","124"
"Male","127"
"56",""
"Female","49"
"Male","46"
"57",""
"Female","32"
"Male","42"
"58",""
"Female","84"
"Male","77"
"59",""
"Female","23"
"Male","23"
"6",""
"Female","331"
"Male","290"
"60",""
"Female","178"
"Male","143"
"61",""
"Female","44"
"Male","48"
"62",""
"Female","69"
"Male","49"
"63",""
"Female","52"
"Male","35"
"64",""
"Female","31"
"Male","27"
"65",""
"Female","143"
"Male","113"
"66",""
"Female","30"
"Male","32"
"67",""
"Female","31"
"Male","29"
"68",""
"Female","53"
"Male","48"
"69",""
"Female","16"
"Male","16"
"7",""
"Female","280"
"Male","253"
"70",""
"Female","100"
"Male","87"
"71",""
"Female","13"
"Male","19"
"72",""
"Female","56"
"Male","34"
"73",""
"Female","29"
"Male","26"
"74",""
"Female","14"
"Male","20"
"75",""
"Female","73"
"Male","57"
"76",""
"Female","7"
"Male","19"
"77",""
"Female","12"
"Male","12"
"78",""
"Female","18"
"Male","10"
"79",""
"Female","2"
"Male","6"
"8",""
"Female","389"
"Male","383"
"80",""
"Female","35"
"Male","24"
"81",""
"Female","7"
"Male","6"
"82",""
"Female","8"
"Male","12"
"83",""
"Female","2"
"Male","4"
"84",""
"Female","3"
"Male","9"
"85",""
"Female","43"
"Male","31"
"9",""
"Female","231"
"Male","243"
