"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","6"
"Cow Dung","6"
"Electricity","0"
"Kerosene","15"
"LP Gas","4"
"Not stated","9"
"Others","2"
"Wood/Firewood","4068"
"Total","4110"
