"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","1568"
"Male","1455"
"Chhetri",""
"Female","7396"
"Male","6934"
"Dalit Others",""
"Female","1019"
"Male","1002"
"Damai/Dholi",""
"Female","32"
"Male","39"
"Hajam/Thakur",""
"Female","12"
"Male","3"
"Kami",""
"Female","418"
"Male","388"
"Lohar",""
"Female","240"
"Male","233"
"Magar",""
"Female","1"
"Male","12"
"Others",""
"Female","12"
"Male","22"
"Sanyasi/Dasnami",""
"Female","1063"
"Male","774"
"Sarki",""
"Female","23"
"Male","26"
"Terai Others",""
"Female","58"
"Male","44"
"Thakuri",""
"Female","92"
"Male","58"
