"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","251"
"Male","232"
"","483"
"Chhetri",""
"Female","34"
"Male","42"
"","76"
"Damai/Dholi",""
"Female","21"
"Male","20"
"","41"
"Ghale",""
"Female","76"
"Male","69"
"","145"
"Gharti/Bhujel",""
"Female","34"
"Male","31"
"","65"
"Gurung",""
"Female","31"
"Male","23"
"","54"
"Kami",""
"Female","405"
"Male","295"
"","700"
"Magar",""
"Female","89"
"Male","86"
"","175"
"Newar",""
"Female","186"
"Male","134"
"","320"
"Others",""
"Female","9"
"Male","28"
"","37"
"Sonar",""
"Female","50"
"Male","47"
"","97"
"Tamang",""
"Female","6234"
"Male","5052"
"","11286"
