"Number of households by type of outer wall","Number"
"BambooWall","164"
"Cement Bonded Bricks/Stone Wall","1857"
"Mud Bonded Bricks/Stone Wall","2657"
"Not stated","72"
"Others","2914"
"Unbaked Bricks","3155"
"Wood/Planks","247"
"Total","11066"
