"Population by Mother tongue","Number"
"Avadhi",""
"Female","409"
"Male","415"
"Doteli",""
"Female","28"
"Male","34"
"Gurung",""
"Female","14"
"Male","9"
"Hindi",""
"Female","38"
"Male","64"
"Magar",""
"Female","618"
"Male","471"
"Maithili",""
"Female","34"
"Male","37"
"Nepali",""
"Female","17757"
"Male","14885"
"Newar",""
"Female","9"
"Male","9"
"Not Reported",""
"Female","6"
"Male","7"
"Others",""
"Female","25"
"Male","22"
"Tamang",""
"Female","9"
"Male","8"
"Tharu",""
"Female","10003"
"Male","9328"
"Urdu",""
"Female","96"
"Male","83"
