"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","641"
"Cow Dung","7"
"Electricity","48"
"Kerosene","164"
"LP Gas","2930"
"Not stated","92"
"Others","19"
"Wood/Firewood","8604"
"Total","12505"
