"Population by Five Years Age Group","Number"
"0-4",""
"Female","1931"
"Male","2120"
"10-14",""
"Female","3452"
"Male","3505"
"15-19",""
"Female","3765"
"Male","3074"
"20-24",""
"Female","3114"
"Male","2239"
"25-29",""
"Female","2442"
"Male","1704"
"30-34",""
"Female","1956"
"Male","1503"
"35-39",""
"Female","1892"
"Male","1417"
"40-44",""
"Female","1752"
"Male","1494"
"45-49",""
"Female","1392"
"Male","1332"
"50-54",""
"Female","1261"
"Male","1223"
"55-59",""
"Female","959"
"Male","1026"
"5-9",""
"Female","2649"
"Male","2831"
"60-64",""
"Female","876"
"Male","802"
"65-69",""
"Female","681"
"Male","707"
"70-74",""
"Female","520"
"Male","499"
"75+",""
"Female","814"
"Male","718"
