"Population by Five Years Age Group","Number"
"0-4",""
"Female","652"
"Male","652"
"10-14",""
"Female","925"
"Male","941"
"15-19",""
"Female","899"
"Male","880"
"20-24",""
"Female","673"
"Male","404"
"25-29",""
"Female","544"
"Male","313"
"30-34",""
"Female","389"
"Male","233"
"35-39",""
"Female","388"
"Male","272"
"40-44",""
"Female","370"
"Male","284"
"45-49",""
"Female","360"
"Male","304"
"50-54",""
"Female","305"
"Male","317"
"55-59",""
"Female","272"
"Male","237"
"5-9",""
"Female","850"
"Male","791"
"60-64",""
"Female","222"
"Male","219"
"65-69",""
"Female","158"
"Male","130"
"70-74",""
"Female","119"
"Male","130"
"75+",""
"Female","170"
"Male","188"
