"Population by Caste/Ethinicity","Number"
"Bin",""
"Female","6"
"Male","9"
"Brahman - Hill",""
"Female","984"
"Male","875"
"Chhetri",""
"Female","1148"
"Male","1007"
"Dalit Others",""
"Female","18"
"Male","19"
"Damai/Dholi",""
"Female","178"
"Male","130"
"Gharti/Bhujel",""
"Female","29"
"Male","13"
"Gurung",""
"Female","290"
"Male","230"
"Kami",""
"Female","363"
"Male","289"
"Khawas",""
"Female","3"
"Male","11"
"Limbu",""
"Female","2513"
"Male","2229"
"Newar",""
"Female","161"
"Male","143"
"Others",""
"Female","12"
"Male","8"
"Rai",""
"Female","885"
"Male","778"
"Sanyasi/Dasnami",""
"Female","12"
"Male","11"
"Sarki",""
"Female","63"
"Male","37"
"Sherpa",""
"Female","13"
"Male","9"
"Sunuwar",""
"Female","314"
"Male","246"
"Tamang",""
"Female","270"
"Male","213"
"Teli",""
"Female","28"
"Male","31"
"Yadav",""
"Female","6"
"Male","7"
