"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","206"
"Cow Dung","0"
"Electricity Fuel","4"
"KeroseneFuel","14"
"LP Gas","517"
"Not Sated about Fuel","49"
"OthersFuel","3"
"Wood/FireWood","5889"
"Total","6682"
