"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","1475"
"Cow Dung","2976"
"Electricity Fuel","17"
"KeroseneFuel","221"
"LP Gas","8906"
"Not Sated about Fuel","131"
"OthersFuel","141"
"Wood/FireWood","21552"
"Total","35419"
