"Agricultural land use area","Hectare"
"Area under arable land","27677.08"
"Area under meadows and pasture","344.65"
"Area under permanent crops","1394.59"
"Area under Temporary crops","27007.64"
"Area under temporary fallow","523.21"
"Area under temporary meadows","146.23"
"Other land","1211.23"
"Ponds","3.20"
"Woodland and forest","862.72"
