"Population by Five Years Age Group","Number"
"0-4",""
"Female","2402"
"Male","2435"
"10-14",""
"Female","3376"
"Male","3414"
"15-19",""
"Female","3232"
"Male","3151"
"20-24",""
"Female","2849"
"Male","2566"
"25-29",""
"Female","2354"
"Male","2338"
"30-34",""
"Female","1789"
"Male","1789"
"35-39",""
"Female","1667"
"Male","1629"
"40-44",""
"Female","1304"
"Male","1289"
"45-49",""
"Female","1029"
"Male","1153"
"50-54",""
"Female","746"
"Male","762"
"55-59",""
"Female","709"
"Male","705"
"5-9",""
"Female","2980"
"Male","3031"
"60-64",""
"Female","701"
"Male","634"
"65-69",""
"Female","473"
"Male","501"
"70-74",""
"Female","295"
"Male","331"
"75+",""
"Female","235"
"Male","259"
