"Number of households by type of outer wall","Number"
"BambooWall","3300"
"Cement Bonded Bricks/Stone Wall","668"
"Mud Bonded Bricks/Stone Wall","990"
"Not stated","63"
"Others","2467"
"Unbaked Bricks","50"
"Wood/Planks","1179"
"Total","8717"
