"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","397"
"Male","368"
"Chhantyal/Chhantel",""
"Female","71"
"Male","66"
"Chhetri",""
"Female","229"
"Male","188"
"Damai/Dholi",""
"Female","456"
"Male","372"
"Gurung",""
"Female","136"
"Male","107"
"Kami",""
"Female","2870"
"Male","2283"
"Kisan",""
"Female","65"
"Male","46"
"Magar",""
"Female","6058"
"Male","4951"
"Musalman",""
"Female","9"
"Male","10"
"Newar",""
"Female","24"
"Male","23"
"Others",""
"Female","21"
"Male","30"
"Sarki",""
"Female","56"
"Male","39"
"Tamang",""
"Female","10"
"Male","9"
"Thakali",""
"Female","64"
"Male","62"
"Thakuri",""
"Female","50"
"Male","51"
