"Population by Five Years Age Group","Number"
"0-4",""
"Female","1697"
"Male","1715"
"10-14",""
"Female","1897"
"Male","1962"
"15-19",""
"Female","1020"
"Male","1300"
"20-24",""
"Female","990"
"Male","973"
"25-29",""
"Female","1021"
"Male","1019"
"30-34",""
"Female","1005"
"Male","918"
"35-39",""
"Female","859"
"Male","888"
"40-44",""
"Female","628"
"Male","759"
"45-49",""
"Female","568"
"Male","564"
"50-54",""
"Female","428"
"Male","515"
"55-59",""
"Female","401"
"Male","387"
"5-9",""
"Female","2104"
"Male","2219"
"60-64",""
"Female","359"
"Male","418"
"65-69",""
"Female","278"
"Male","284"
"70-74",""
"Female","204"
"Male","226"
"75+",""
"Female","187"
"Male","159"
