"Population by Five Years Age Group","Number"
"0-4",""
"Female","1470"
"Male","1546"
"10-14",""
"Female","1883"
"Male","2049"
"15-19",""
"Female","1695"
"Male","1777"
"20-24",""
"Female","1404"
"Male","1224"
"25-29",""
"Female","1301"
"Male","1275"
"30-34",""
"Female","1139"
"Male","1054"
"35-39",""
"Female","1046"
"Male","1084"
"40-44",""
"Female","886"
"Male","861"
"45-49",""
"Female","748"
"Male","832"
"50-54",""
"Female","558"
"Male","612"
"55-59",""
"Female","520"
"Male","539"
"5-9",""
"Female","1713"
"Male","1737"
"60-64",""
"Female","456"
"Male","441"
"65-69",""
"Female","284"
"Male","327"
"70-74",""
"Female","166"
"Male","196"
"75+",""
"Female","183"
"Male","174"
