"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","29"
"Cow Dung","5394"
"Electricity","34"
"Kerosene","48"
"LP Gas","78"
"Not stated","20"
"Others","173"
"Wood/Firewood","477"
"Total","6253"
