"Number of households by type of outer wall","Number"
"BambooWall","5502"
"Cement Bonded Bricks/Stone Wall","475"
"Mud Bonded Bricks/Stone Wall","68"
"Not stated","33"
"Others","79"
"Unbaked Bricks","12"
"Wood/Planks","84"
"Total","6253"
