"Number of households by type of outer wall","Number"
"BambooWall","3040"
"Cement Bonded Bricks/Stone Wall","571"
"Mud Bonded Bricks/Stone Wall","217"
"Not Stated about Wall","70"
"Other Type Wall","36"
"Unbaked Bricks","11"
"Wood/Planks","31"
"Total","3976"
