"Population by Five Years Age Group","Number"
"0-4",""
"Female","13576"
"Male","14053"
"10-14",""
"Female","18481"
"Male","18099"
"15-19",""
"Female","15105"
"Male","13237"
"20-24",""
"Female","12113"
"Male","9054"
"25-29",""
"Female","10021"
"Male","7349"
"30-34",""
"Female","7799"
"Male","6092"
"35-39",""
"Female","7115"
"Male","5922"
"40-44",""
"Female","5755"
"Male","5212"
"45-49",""
"Female","4787"
"Male","4458"
"50-54",""
"Female","3987"
"Male","4282"
"55-59",""
"Female","3462"
"Male","3611"
"5-9",""
"Female","16788"
"Male","17090"
"60-64",""
"Female","3218"
"Male","3022"
"65-69",""
"Female","2088"
"Male","2185"
"70-74",""
"Female","1120"
"Male","1178"
"75+",""
"Female","1060"
"Male","1125"
