"Agricultural land use area","Hectare"
"Area under arable land","20348.91"
"Area under meadows and pasture","2320.42"
"Area under permanent crops","1935.03"
"Area under Temporary crops","19698.60"
"Area under temporary fallow","549.09"
"Area under temporary meadows","101.22"
"Other land","1318.82"
"Ponds","6.21"
"Woodland and forest","755.44"
