"Population by Five Years Age Group","Number"
"0-4",""
"Female","462"
"Male","438"
"10-14",""
"Female","366"
"Male","381"
"15-19",""
"Female","273"
"Male","272"
"20-24",""
"Female","300"
"Male","264"
"25-29",""
"Female","201"
"Male","204"
"30-34",""
"Female","163"
"Male","157"
"35-39",""
"Female","168"
"Male","150"
"40-44",""
"Female","132"
"Male","135"
"45-49",""
"Female","140"
"Male","161"
"50-54",""
"Female","108"
"Male","129"
"55-59",""
"Female","62"
"Male","91"
"5-9",""
"Female","447"
"Male","385"
"60-64",""
"Female","124"
"Male","109"
"65-69",""
"Female","54"
"Male","53"
"70-74",""
"Female","20"
"Male","37"
"75+",""
"Female","25"
"Male","34"
