"Population by Single Year of Age","Number"
"0",""
"Female","81"
"Male","81"
"1",""
"Female","80"
"Male","63"
"10",""
"Female","69"
"Male","70"
"11",""
"Female","58"
"Male","77"
"12",""
"Female","85"
"Male","100"
"13",""
"Female","61"
"Male","54"
"14",""
"Female","93"
"Male","80"
"15",""
"Female","52"
"Male","58"
"16",""
"Female","63"
"Male","58"
"17",""
"Female","51"
"Male","38"
"18",""
"Female","65"
"Male","80"
"19",""
"Female","42"
"Male","38"
"2",""
"Female","81"
"Male","96"
"20",""
"Female","87"
"Male","60"
"21",""
"Female","63"
"Male","49"
"22",""
"Female","55"
"Male","56"
"23",""
"Female","40"
"Male","42"
"24",""
"Female","55"
"Male","57"
"25",""
"Female","65"
"Male","59"
"26",""
"Female","39"
"Male","38"
"27",""
"Female","40"
"Male","39"
"28",""
"Female","42"
"Male","46"
"29",""
"Female","15"
"Male","22"
"3",""
"Female","119"
"Male","98"
"30",""
"Female","69"
"Male","63"
"31",""
"Female","25"
"Male","25"
"32",""
"Female","25"
"Male","28"
"33",""
"Female","21"
"Male","19"
"34",""
"Female","23"
"Male","22"
"35",""
"Female","61"
"Male","58"
"36",""
"Female","29"
"Male","23"
"37",""
"Female","23"
"Male","17"
"38",""
"Female","37"
"Male","38"
"39",""
"Female","18"
"Male","14"
"4",""
"Female","101"
"Male","100"
"40",""
"Female","65"
"Male","42"
"41",""
"Female","17"
"Male","23"
"42",""
"Female","23"
"Male","26"
"43",""
"Female","15"
"Male","24"
"44",""
"Female","12"
"Male","20"
"45",""
"Female","52"
"Male","49"
"46",""
"Female","20"
"Male","25"
"47",""
"Female","17"
"Male","9"
"48",""
"Female","41"
"Male","57"
"49",""
"Female","10"
"Male","21"
"5",""
"Female","100"
"Male","83"
"50",""
"Female","55"
"Male","47"
"51",""
"Female","12"
"Male","18"
"52",""
"Female","17"
"Male","31"
"53",""
"Female","13"
"Male","19"
"54",""
"Female","11"
"Male","14"
"55",""
"Female","26"
"Male","38"
"56",""
"Female","10"
"Male","14"
"57",""
"Female","10"
"Male","9"
"58",""
"Female","6"
"Male","23"
"59",""
"Female","10"
"Male","7"
"6",""
"Female","93"
"Male","76"
"60",""
"Female","46"
"Male","40"
"61",""
"Female","15"
"Male","25"
"62",""
"Female","29"
"Male","18"
"63",""
"Female","16"
"Male","12"
"64",""
"Female","18"
"Male","14"
"65",""
"Female","25"
"Male","25"
"66",""
"Female","9"
"Male","9"
"67",""
"Female","8"
"Male","7"
"68",""
"Female","9"
"Male","5"
"69",""
"Female","3"
"Male","7"
"7",""
"Female","85"
"Male","80"
"70",""
"Female","15"
"Male","12"
"71",""
"Female","4"
"Male","7"
"72",""
"Female","0"
"Male","9"
"73",""
"Female","1"
"Male","5"
"74",""
"Female","0"
"Male","4"
"75",""
"Female","4"
"Male","9"
"76",""
"Female","4"
"Male","4"
"77",""
"Female","3"
"Male","2"
"78",""
"Female","2"
"Male","4"
"79",""
"Female","1"
"Male","1"
"8",""
"Female","79"
"Male","64"
"80",""
"Female","4"
"Male","2"
"81",""
"Female","2"
"Male","4"
"82",""
"Female","1"
"Male","3"
"83",""
"Female","1"
"Male","2"
"84",""
"Female","1"
"Male","1"
"85",""
"Female","2"
"Male","2"
"9",""
"Female","90"
"Male","82"
