"Population by Five Years Age Group","Number"
"0-4",""
"Female","2452"
"Male","2443"
"10-14",""
"Female","2417"
"Male","2192"
"15-19",""
"Female","1775"
"Male","1583"
"20-24",""
"Female","1684"
"Male","1493"
"25-29",""
"Female","1340"
"Male","1611"
"30-34",""
"Female","1144"
"Male","1182"
"35-39",""
"Female","1136"
"Male","1181"
"40-44",""
"Female","891"
"Male","973"
"45-49",""
"Female","749"
"Male","789"
"50-54",""
"Female","612"
"Male","672"
"55-59",""
"Female","483"
"Male","572"
"5-9",""
"Female","2654"
"Male","2549"
"60-64",""
"Female","543"
"Male","478"
"65-69",""
"Female","302"
"Male","267"
"70-74",""
"Female","152"
"Male","136"
"75+",""
"Female","128"
"Male","117"
