"Population by Caste/Ethinicity","Number"
"Bhote",""
"Female","120"
"Male","120"
"Brahman - Hill",""
"Female","240"
"Male","296"
"Chhetri",""
"Female","8215"
"Male","8036"
"Dalit Others",""
"Female","8"
"Male","8"
"Damai/Dholi",""
"Female","288"
"Male","284"
"Dolpo",""
"Female","2137"
"Male","1922"
"Gurung",""
"Female","1392"
"Male","1176"
"Kami",""
"Female","1679"
"Male","1613"
"Magar",""
"Female","2384"
"Male","2152"
"Musalman",""
"Female","0"
"Male","13"
"Newar",""
"Female","40"
"Male","34"
"Others",""
"Female","36"
"Male","80"
"Sanyasi/Dasnami",""
"Female","26"
"Male","33"
"Sarki",""
"Female","508"
"Male","501"
"Tamang",""
"Female","203"
"Male","213"
"Thakali",""
"Female","8"
"Male","6"
"Thakuri",""
"Female","1157"
"Male","1170"
"Tharu",""
"Female","2"
"Male","17"
"Yadav",""
"Female","4"
"Male","7"
