"Agricultural land use area","Hectare"
"Area under arable land","3328.83"
"Area under meadows and pasture","131.80"
"Area under permanent crops","134.19"
"Area under Temporary crops","3178.45"
"Area under temporary fallow","131.10"
"Area under temporary meadows","19.29"
"Other land","126.38"
"Ponds","0.00"
"Woodland and forest","12.22"
