"Number of households by type of outer wall","Number"
"BambooWall","2681"
"Cement Bonded Bricks/Stone Wall","954"
"Mud Bonded Bricks/Stone Wall","339"
"Not Stated about Wall","108"
"Other Type Wall","5"
"Unbaked Bricks","6"
"Wood/Planks","37"
"Total","4130"
