"Population by Single Year of Age","Number"
"0",""
"Female","231"
"Male","254"
"1",""
"Female","238"
"Male","261"
"10",""
"Female","366"
"Male","351"
"11",""
"Female","301"
"Male","316"
"12",""
"Female","396"
"Male","376"
"13",""
"Female","326"
"Male","337"
"14",""
"Female","348"
"Male","368"
"15",""
"Female","341"
"Male","343"
"16",""
"Female","341"
"Male","336"
"17",""
"Female","351"
"Male","345"
"18",""
"Female","361"
"Male","304"
"19",""
"Female","321"
"Male","218"
"2",""
"Female","229"
"Male","236"
"20",""
"Female","333"
"Male","249"
"21",""
"Female","266"
"Male","206"
"22",""
"Female","346"
"Male","243"
"23",""
"Female","258"
"Male","211"
"24",""
"Female","263"
"Male","212"
"25",""
"Female","332"
"Male","246"
"26",""
"Female","244"
"Male","214"
"27",""
"Female","240"
"Male","218"
"28",""
"Female","264"
"Male","229"
"29",""
"Female","153"
"Male","157"
"3",""
"Female","218"
"Male","211"
"30",""
"Female","288"
"Male","242"
"31",""
"Female","108"
"Male","109"
"32",""
"Female","189"
"Male","179"
"33",""
"Female","133"
"Male","155"
"34",""
"Female","146"
"Male","131"
"35",""
"Female","257"
"Male","221"
"36",""
"Female","145"
"Male","117"
"37",""
"Female","116"
"Male","100"
"38",""
"Female","152"
"Male","164"
"39",""
"Female","130"
"Male","111"
"4",""
"Female","268"
"Male","314"
"40",""
"Female","251"
"Male","229"
"41",""
"Female","111"
"Male","110"
"42",""
"Female","182"
"Male","139"
"43",""
"Female","141"
"Male","120"
"44",""
"Female","115"
"Male","110"
"45",""
"Female","218"
"Male","197"
"46",""
"Female","136"
"Male","113"
"47",""
"Female","122"
"Male","111"
"48",""
"Female","147"
"Male","130"
"49",""
"Female","122"
"Male","99"
"5",""
"Female","294"
"Male","276"
"50",""
"Female","234"
"Male","199"
"51",""
"Female","101"
"Male","87"
"52",""
"Female","134"
"Male","127"
"53",""
"Female","112"
"Male","87"
"54",""
"Female","91"
"Male","78"
"55",""
"Female","144"
"Male","137"
"56",""
"Female","99"
"Male","91"
"57",""
"Female","88"
"Male","84"
"58",""
"Female","79"
"Male","116"
"59",""
"Female","67"
"Male","66"
"6",""
"Female","261"
"Male","302"
"60",""
"Female","179"
"Male","139"
"61",""
"Female","92"
"Male","68"
"62",""
"Female","75"
"Male","86"
"63",""
"Female","61"
"Male","61"
"64",""
"Female","66"
"Male","52"
"65",""
"Female","84"
"Male","75"
"66",""
"Female","53"
"Male","48"
"67",""
"Female","78"
"Male","74"
"68",""
"Female","76"
"Male","80"
"69",""
"Female","44"
"Male","70"
"7",""
"Female","302"
"Male","309"
"70",""
"Female","95"
"Male","87"
"71",""
"Female","33"
"Male","33"
"72",""
"Female","57"
"Male","50"
"73",""
"Female","31"
"Male","37"
"74",""
"Female","32"
"Male","39"
"75",""
"Female","59"
"Male","68"
"76",""
"Female","33"
"Male","35"
"77",""
"Female","49"
"Male","43"
"78",""
"Female","41"
"Male","38"
"79",""
"Female","18"
"Male","15"
"8",""
"Female","316"
"Male","306"
"80",""
"Female","41"
"Male","35"
"81",""
"Female","14"
"Male","16"
"82",""
"Female","10"
"Male","19"
"83",""
"Female","25"
"Male","13"
"84",""
"Female","19"
"Male","15"
"85",""
"Female","71"
"Male","72"
"9",""
"Female","258"
"Male","272"
