"Population by Mother tongue","Number"
"Bantawa",""
"Female","1572"
"Male","1431"
"Bhujel",""
"Female","14"
"Male","12"
"Chamling",""
"Female","79"
"Male","71"
"Dungmali",""
"Female","21"
"Male","16"
"Gurung",""
"Female","109"
"Male","99"
"Khash",""
"Female","17"
"Male","17"
"Kulung",""
"Female","3"
"Male","8"
"Limbu",""
"Female","20"
"Male","14"
"Magar",""
"Female","104"
"Male","105"
"Maithili",""
"Female","17"
"Male","67"
"Nepali",""
"Female","7554"
"Male","6473"
"Newar",""
"Female","2138"
"Male","1942"
"Not Reported",""
"Female","60"
"Male","53"
"Others",""
"Female","190"
"Male","175"
"Rai",""
"Female","209"
"Male","176"
"Sampang",""
"Female","386"
"Male","355"
"Sanskrit",""
"Female","36"
"Male","38"
"Sherpa",""
"Female","291"
"Male","226"
"Tamang",""
"Female","1686"
"Male","1391"
"Tharu",""
"Female","6"
"Male","6"
"Thulung",""
"Female","8"
"Male","9"
