"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","8"
"Cow Dung","13"
"Electricity Fuel","1"
"KeroseneFuel","4"
"LP Gas","16"
"Not Sated about Fuel","32"
"OthersFuel","5"
"Wood/FireWood","5015"
"Total","5094"
