"Population by Caste Ethinicity","Number"
"Badi",""
"Female","211"
"Male","190"
"","401"
"Brahman - Hill",""
"Female","238"
"Male","239"
"","477"
"Chhetri",""
"Female","5665"
"Male","4805"
"","10470"
"Damai/Dholi",""
"Female","768"
"Male","643"
"","1411"
"Gaine",""
"Female","35"
"Male","29"
"","64"
"Gurung",""
"Female","9"
"Male","7"
"","16"
"Kami",""
"Female","2898"
"Male","2416"
"","5314"
"Lohar",""
"Female","35"
"Male","29"
"","64"
"Magar",""
"Female","1224"
"Male","1025"
"","2249"
"Others",""
"Female","19"
"Male","25"
"","44"
"Sanyasi/Dasnami",""
"Female","438"
"Male","405"
"","843"
"Sarki",""
"Female","182"
"Male","136"
"","318"
"Terai Others",""
"Female","13"
"Male","6"
"","19"
"Thakuri",""
"Female","2267"
"Male","1888"
"","4155"
