"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","899"
"Mud Roof","235"
"Not Sated Roof","42"
"Other Type of Roof","17"
"RCC Roof","30"
"Thatch/Straw Roof","2687"
"Tile/Slate Roof","1177"
"Wood/Planks Roof","7"
"Total","5094"
