"Population by Five Years Age Group","Number"
"0-4",""
"Female","2347"
"Male","2323"
"10-14",""
"Female","2468"
"Male","2602"
"15-19",""
"Female","1961"
"Male","2061"
"20-24",""
"Female","1649"
"Male","1557"
"25-29",""
"Female","1500"
"Male","1399"
"30-34",""
"Female","1334"
"Male","1148"
"35-39",""
"Female","1037"
"Male","1096"
"40-44",""
"Female","901"
"Male","893"
"45-49",""
"Female","727"
"Male","829"
"50-54",""
"Female","560"
"Male","668"
"55-59",""
"Female","571"
"Male","608"
"5-9",""
"Female","2711"
"Male","2838"
"60-64",""
"Female","556"
"Male","571"
"65-69",""
"Female","412"
"Male","461"
"70-74",""
"Female","262"
"Male","345"
"75+",""
"Female","262"
"Male","295"
