"Population by Five Years Age Group","Number"
"0-4",""
"Female","701"
"Male","670"
"10-14",""
"Female","917"
"Male","924"
"15-19",""
"Female","896"
"Male","749"
"20-24",""
"Female","734"
"Male","309"
"25-29",""
"Female","583"
"Male","252"
"30-34",""
"Female","367"
"Male","196"
"35-39",""
"Female","442"
"Male","195"
"40-44",""
"Female","330"
"Male","212"
"45-49",""
"Female","372"
"Male","213"
"50-54",""
"Female","343"
"Male","257"
"55-59",""
"Female","285"
"Male","244"
"5-9",""
"Female","758"
"Male","829"
"60-64",""
"Female","268"
"Male","238"
"65-69",""
"Female","224"
"Male","217"
"70-74",""
"Female","155"
"Male","148"
"75+",""
"Female","179"
"Male","202"
