"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","24"
"Male","17"
"Bote",""
"Female","10"
"Male","5"
"Brahman - Hill",""
"Female","3212"
"Male","2451"
"Chhetri",""
"Female","795"
"Male","597"
"Damai/Dholi",""
"Female","427"
"Male","339"
"Gharti/Bhujel",""
"Female","114"
"Male","102"
"Gurung",""
"Female","256"
"Male","224"
"Kami",""
"Female","507"
"Male","396"
"Kumal",""
"Female","144"
"Male","134"
"Magar",""
"Female","780"
"Male","609"
"Majhi",""
"Female","49"
"Male","42"
"Musalman",""
"Female","12"
"Male","11"
"Newar",""
"Female","215"
"Male","147"
"Others",""
"Female","20"
"Male","18"
"Sanyasi/Dasnami",""
"Female","249"
"Male","194"
"Sarki",""
"Female","740"
"Male","563"
