"Industries Types","Number"
"Accommodation and food","290"
"Administrative and support service activity","7"
"Agriculture, forestry and fishing","182"
"Art, entertainment and recreation","1"
"Construction","0"
"Education","334"
"Electricty gas and water","32"
"Financial intermediation and insurance","67"
"Health and social work","177"
"Information and communications","12"
"Manufacturing","519"
"Mining and quarrying","1"
"Other service activities","144"
"Professional,scientific and techniqual activity","9"
"Real state, renting and business activities","0"
"Transport and storage","43"
"Water supply, wet management","6"
"Wholesale and retail trade","1589"
"Total","3413"
