"Agricultural land use area","Hectare"
"Area under arable land","13735.00"
"Area under meadows and pasture","221.00"
"Area under permanent crops","6353.00"
"Area under Temporary crops","13103.00"
"Area under temporary fallow","366.00"
"Area under temporary meadows","266.00"
"Other land","884.00"
"Ponds","0.00"
"Woodland and forest","134.00"
"Total","35062.00"
