"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","385"
"Cow Dung","2"
"Electricity Fuel","3"
"KeroseneFuel","18"
"LP Gas","324"
"Not Sated about Fuel","37"
"OthersFuel","4"
"Wood/FireWood","5811"
"Total","6584"
